repository,file_path,line_number,target_name,cache_type,is_specified_cache_keyword,cache_options,enclosing_class,enclosing_function,file_url,code_snippet
dask/dask,dask/bag/avro.py,67,OpenFile,NOT_EXPLICIT,False,None,None,open_head,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L67,"    """"""Open a file just to read its head and size""""""     with OpenFile(fs, path, compression=compression) as f:         head = read_header(f)"
dask/dask,dask/bag/avro.py,69,fs.info,NOT_EXPLICIT,False,None,None,open_head,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L69,"        head = read_header(f)     size = fs.info(path)[""size""]     return head, size"
dask/dask,dask/bag/avro.py,104,get_fs_token_paths,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L104,"    if blocksize is not None:         fs, fs_token, paths = get_fs_token_paths(             urlpath, mode=""rb"", storage_options=storage_options         )         dhead = delayed(open_head)"
dask/dask,dask/bag/avro.py,123,OpenFile,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L123,"            delimiter = head[""sync""]             f = OpenFile(fs, path, compression=compression)             token = fs_tokenize("
dask/dask,dask/bag/avro.py,124,fs_tokenize,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L124,"            f = OpenFile(fs, path, compression=compression)             token = fs_tokenize(                 fs_token, delimiter, path, fs.ukey(path), compression, offset             )             keys = [f""read-avro-{o}-{token}"" for o in offset]"
dask/dask,dask/bag/avro.py,125,fs.ukey,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L125,"            token = fs_tokenize(                 fs_token, delimiter, path, fs.ukey(path), compression, offset             )"
dask/dask,dask/bag/avro.py,136,open_files,NOT_EXPLICIT,False,None,None,read_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L136,"    else:         files = open_files(urlpath, compression=compression, **storage_options)         dread = delayed(read_file)"
dask/dask,dask/bag/avro.py,152,read_block,NOT_EXPLICIT,False,None,None,read_chunk,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L152,"    with fobj as f:         chunk = read_block(f, off, l, head[""sync""])     head_bytes = head[""head_bytes""]"
dask/dask,dask/bag/avro.py,256,open_files,NOT_EXPLICIT,False,None,None,to_avro,https://github.com/dask/dask/blob/main/dask/bag/avro.py#L256,"    storage_options = storage_options or {}     files = open_files(         filename,         ""wb"",         name_function=name_function,         num=b.npartitions,         **storage_options,     )     name = f""to-avro-{uuid.uuid4().hex}"""
dask/dask,dask/bag/core.py,259,open_files,NOT_EXPLICIT,False,None,None,to_textfiles,https://github.com/dask/dask/blob/main/dask/bag/core.py#L259,"    mode = ""wb"" if encoding is None else ""wt""     files = open_files(         path,         compression=compression,         mode=mode,         encoding=encoding,         name_function=name_function,         num=b.npartitions,         **(storage_options or {}),     ) "
dask/dask,dask/bag/text.py,100,open_files,NOT_EXPLICIT,False,None,None,read_text,https://github.com/dask/dask/blob/main/dask/bag/text.py#L100,"            newline = """"         files = open_files(             urlpath,             mode=""rt"",             encoding=encoding,             errors=errors,             compression=compression,             newline=newline,             **(storage_options or {}),         )         if files_per_partition is None:"
dask/dask,dask/bytes/core.py,83,get_fs_token_paths,NOT_EXPLICIT,False,None,None,read_bytes,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L83,"     fs, fs_token, paths = get_fs_token_paths(urlpath, mode=""rb"", storage_options=kwargs) "
dask/dask,dask/bytes/core.py,103,infer_compression,NOT_EXPLICIT,False,None,None,read_bytes,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L103,"            if compression == ""infer"":                 comp = infer_compression(path)             else:"
dask/dask,dask/bytes/core.py,111,fs.info,NOT_EXPLICIT,False,None,None,read_bytes,https://github.com/dask/dask/blob/main/dask/bytes/core.py#L111,"                )             size = fs.info(path)[""size""]             if size is None:"
